scope_id,condition,provisional_unit,event_index,raw_replicate_index,reason,candidate_explanation,applied_repair,resolution
transient_time,ES10,,,,serial_date_time_reversal,"{""reversal_count"":1}",false,quarantined_unresolved
transient_time,ES12,ES12C1,,,timestamp_signal_row_count_mismatch,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,quarantined_unresolved
transient_time,ES12,ES12C1,,,timestamp_signal_row_count_mismatch,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,quarantined_unresolved
transient_time,ES12,ES12C2,,,timestamp_signal_row_count_mismatch,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,quarantined_unresolved
transient_time,ES12,ES12C2,,,timestamp_signal_row_count_mismatch,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,quarantined_unresolved
transient_time,ES12,ES12C3,,,timestamp_signal_row_count_mismatch,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,quarantined_unresolved
transient_time,ES12,ES12C3,,,timestamp_signal_row_count_mismatch,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,quarantined_unresolved
transient_time,ES12,ES12C4,,,timestamp_signal_row_count_mismatch,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,quarantined_unresolved
transient_time,ES12,ES12C4,,,timestamp_signal_row_count_mismatch,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,quarantined_unresolved
transient_time,ES12,ES12C5,,,timestamp_signal_row_count_mismatch,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,quarantined_unresolved
